"Connected","Activation lock","Full OS","Model","Serial","Battery","Carrier network","IMEI","Name","Tags","ICCID","Supervised?","Managed?","Missing apps"
"2021-04-06T04:56:28.000Z","Disabled","14.3","iPhone 7","F71SVEP6HG7J","94%","-","355324081647641","F71SVEP6HG7J","","8961025718009793582","Yes","No","3"
"2020-03-31T03:37:00.000Z","Disabled","13.3","iPhone 7","F71T307RHG7P","12%","-","355326084627199","F71T307RHG7P","","-","Yes","No","3"
"2021-04-06T05:02:09.000Z","Disabled","13.2.3","iPhone 7","F71WLDYEHG7K","98%","-","353075092595870","F71WLDYEHG7K","","8961025715442971676","Yes","No","3"
"2021-05-11T02:45:58.000Z","Disabled","12.5.1","iPad Air","F8QPF036FK10","52%","-","-","F8QPF036FK10","","-","Yes","No","3"
"2020-10-29T09:14:12.000Z","Disabled","12.4.5","iPad Air","F8QPF04PFK10","100%","-","-","F8QPF04PFK10","","-","Yes","No","3"
"2020-09-13T07:37:51.000Z","Disabled","12.4.4","iPad Air","F8QPQ08LFK10","74%","-","-","F8QPQ08LFK10","","-","Yes","No","3"
"2021-05-13T05:34:30.000Z","Disabled","12.5.1","iPad Air","F8QPQ0EFFK10","41%","-","-","F8QPQ0EFFK10","","-","Yes","No","3"
"2021-05-13T05:13:58.000Z","Disabled","12.5.1","iPad Air","F8QPQ0EQFK10","74%","-","-","F8QPQ0EQFK10","","-","Yes","No","3"
"2021-05-13T05:13:58.000Z","Disabled","12.5.1","iPad Air","F8QPQ0HGFK10","43%","-","-","F8QPQ0HGFK10","","-","Yes","No","3"
"2020-10-29T09:16:26.000Z","Disabled","12.4.5","iPad Air (Cellular)","F8QRX05EF4YH","100%","-","352056063728915","F8QRX05EF4YH","recently-added","89610300001120031385","Yes","No","3"
"2021-01-16T21:51:13.000Z","Disabled","12.4.8","iPad Air","F8QPF04RFK10","82%","-","-","iPad","","-","No","No","3"
"2019-12-31T09:33:50.000Z","Disabled","12.4.1","iPhone 7","F71SF1S7HG7J","87%","-","359213074016664","lola","","-","Yes","No","2"
"2021-08-16T23:11:50.736Z","Disabled","13.3.1","iPad Air 2 (Cellular)","F8QS403MG5YN","41%","-","352071073595196","F8QS403MG5YN","TwilioSuperSIM","-","Yes","Yes","0"
"2021-08-16T23:11:50.736Z","Disabled","14.6","iPhone 8","C8PW27U8JC6J","41%","-","356728088950569","C8PW27U8JC6J","","89883070000006950370","Yes","Yes","0"
"2021-08-16T23:11:50.736Z","Disabled","12.5.3","iPod Touch 6G","CCQR317HGGK5","100%","-","-","CCQR317HGGK5","recently-added","-","Yes","Yes","0"
"2021-08-16T23:11:50.736Z","Disabled","9.3.5","iPad 2 (AT&T)","DKWKL01ADFJ1","7%","-","013100002445594","DKWKL01ADFJ1","","-","Yes","Yes","0"
"2021-08-16T23:11:50.736Z","Disabled","9.3.5","iPad 2","DLXG5RFSDFHW","95%","-","-","DLXG5RFSDFHW","","-","Yes","Yes","0"
"2021-08-16T23:11:50.736Z","Disabled","14.5.1","iPhone 8","F4HVKDAYJC6J","22%","-","356732085462925","F4HVKDAYJC6J","TwilioSuperSIM recently-added","89883070000006950297","Yes","Yes","0"
"2021-08-16T23:11:50.736Z","Disabled","12.5.4","iPad Air (Cellular)","F8QRX06UF4YH","18%","-","352056063537654","F8QRX06UF4YH","TwilioSuperSIM","89883070000001216199","Yes","Yes","0"
"2021-08-16T23:11:50.736Z","Disabled","14.5.1","iPhone 8","GGLWH0BKJC6D","22%","-","353001093386986","GGLWH0BKJC6D","TwilioSuperSIM recently-added","89883070000006950008","Yes","Yes","0"
"2021-08-16T23:11:50.736Z","Disabled","9.3.5","iPad 2","DLXGFDE8DFHY","12%","-","-","iPad","","-","Yes","Yes","0"
"2021-07-05T22:33:43.000Z","Disabled","9.3.5","iPod Touch 5G","CCQNP60KG22R","100%","-","-","A1421 iPod 5 (5,1)","","-","Yes","Yes","0"
"2021-06-10T03:16:31.000Z","Disabled","9.3.5","iPod Touch 5G","CCQNP2RZG22Q","30%","-","-","A1421 iPod 5 (5,1)","","-","Yes","Yes","0"
"2021-06-10T03:12:47.000Z","Disabled","9.3.5","iPod Touch 5G","DJ6MK03XF4JR","30%","-","-","A1421 iPod 5 (5,1)","","-","Yes","Yes","2"
"2021-06-10T03:40:46.000Z","Disabled","9.3.5","iPod Touch 5G","CCQP4EPTG22Q","20%","-","-","A1421 iPod 5 (5,1)","","-","Yes","Yes","0"
"2021-06-10T03:33:09.000Z","Disabled","9.3.5","iPod Touch 5G","CCQNQ2YRG22Y","28%","-","-","A1421 iPod 5 (5,1)","","-","Yes","Yes","0"
"2021-07-05T22:35:33.000Z","Disabled","9.3.5","iPod Touch 5G","CCQP4EV4G22Q","100%","-","-","A1421 iPod 5 (5,1)","","-","Yes","Yes","0"
"2021-07-01T07:33:14.000Z","Disabled","9.3.5","iPod Touch 5G","DJ6M706HF4K1","100%","-","-","A1421 iPod 5 (5,1)","","-","Yes","Yes","0"
"2021-07-01T07:46:16.000Z","Disabled","9.3.5","iPod Touch 5G","DJ6MK0A3F4JR","100%","-","-","A1421 iPod 5 (5,1)","","-","Yes","Yes","0"
"2020-06-23T06:28:39.000Z","Enabled","9.3.5","iPad 2","DLXG3VR3DKPH","37%","-","-","ADWiPad2Gen","","-","No","Yes","2"
"2021-08-06T06:29:24.000Z","Disabled","12.5.4","iPhone 6","C36PCCG0G5MN","0%","-","358375067538581","C36PCCG0G5MN","TwilioSuperSIM","89883070000001216173","Yes","Yes","0"
"2019-12-09T23:16:17.000Z","Disabled","12.1.3","iPhone 6","C38N8JKXG5MN","2%","-","352068061886157","C38N8JKXG5MN","","89610300001120095844","Yes","Yes","2"
"2019-11-05T20:09:44.000Z","Disabled","12.2","iPhone 7","C6KS83WMHG7F","0%","-","359204070503144","C6KS83WMHG7F","","-","Yes","Yes","2"
"2020-11-03T04:06:17.000Z","Disabled","13.2.3","iPhone 7","C6KS86ZQHG7K","100%","-","359213070456872","C6KS86ZQHG7K","","8901260862291935228","Yes","Yes","3"
"2021-06-12T05:00:38.000Z","Disabled","14.3","iPhone 7","C6KS92BWHG7Q","100%","-","359214071009728","C6KS92BWHG7Q","TwilioSuperSIM","89883070000001216264","Yes","Yes","0"
"2021-08-09T12:46:46.000Z","Disabled","14.3","iPhone 7","C6KS971FHG7V","3%","-","359152075742615","C6KS971FHG7V","","8961025719506869693","Yes","Yes","0"
"2021-06-22T07:50:06.000Z","Disabled","14.3","iPhone 7","C6KS9AX7HG7K","1%","-","359205070557220","C6KS9AX7HG7K","Twilio","8901260862292279535","Yes","Yes","1"
"2021-07-16T05:11:03.000Z","Disabled","14.3","iPhone 7","C6KSC07DHG7K","98%","-","359214070265339","C6KSC07DHG7K","","8961025719506869412","Yes","Yes","0"
"2019-11-03T19:41:01.000Z","Disabled","12.3","iPhone 7","C6KSDEUVHG71","100%","-","359169072044092","C6KSDEUVHG71","FreedomPop","-","Yes","Yes","2"
"2021-07-30T23:24:30.000Z","Disabled","14.3","iPhone 7","C6KSFJUNHG7N","100%","-","359213073877173","C6KSFJUNHG7N","NoFilter","8961025719506869594","Yes","Yes","0"
"2021-08-08T19:10:12.000Z","Disabled","14.4","iPhone 7","C6KSG6WZHG7K","1%","-","359210075496242","C6KSG6WZHG7K","","8961025715442970264","Yes","Yes","0"
"2021-07-12T05:28:16.000Z","Disabled","14.3","iPhone 7","C6KSJ0ZQHG7Q","2%","-","359205077690552","C6KSJ0ZQHG7Q","TwilioSuperSIM","-","Yes","Yes","0"
"2021-08-03T12:12:01.000Z","Disabled","13.2.3","iPhone 7","C6KSK4K7HG7F","100%","-","359207079843551","C6KSK4K7HG7F","TwilioSuperSIM","89883070000006951303","Yes","Yes","0"
"2019-11-06T18:21:35.000Z","Disabled","12.3","iPhone 7","C6KSKCYFHG6W","67%","-","359170079461180","C6KSKCYFHG6W","FreedomPop","-","Yes","Yes","2"
"2021-07-21T06:52:33.000Z","Disabled","14.3","iPhone 7","C6KSKLX4HG7F","82%","-","353803089436620","C6KSKLX4HG7F","TwilioSuperSIM","89883070000006951097","Yes","Yes","0"
"2021-06-30T12:57:24.000Z","Disabled","14.3","iPhone 7","C6KSL7ESHG7H","2%","-","353806084909301","C6KSL7ESHG7H","","89610182000760027829","Yes","Yes","0"
"2019-03-28T09:45:23.000Z","Enabled","12.1.4","iPhone 7","C6KSL8RDHG7F","100%","-","353802084195009","C6KSL8RDHG7F","","8961025716434058688","Yes","Yes","3"
"2021-08-01T04:06:26.000Z","Disabled","14.3","iPhone 7","C6KSLJV6HG7J","100%","-","353805089473479","C6KSLJV6HG7J","","8961025719546259269","Yes","Yes","0"
"2021-07-01T07:47:48.000Z","Disabled","14.3","iPhone 7","C6KSLN8XHG7J","100%","-","353805089556133","C6KSLN8XHG7J","","8901260862292279329","Yes","Yes","0"
"2021-08-01T06:18:26.000Z","Disabled","14.3","iPhone 7","C6KSLSMEHG7J","100%","-","353802089077228","C6KSLSMEHG7J","","8961025719506869784","Yes","Yes","0"
"2021-07-16T02:30:37.000Z","Disabled","14.3","iPhone 7","C6KSLZ29HG7K","2%","-","353843080255082","C6KSLZ29HG7K","","8901260862292281622","Yes","Yes","0"
"2021-07-12T05:30:21.000Z","Disabled","14.3","iPhone 7","C6KSM505HG7H","100%","-","353843082248549","C6KSM505HG7H","","8961025719506869016","Yes","Yes","0"
"2021-07-05T22:23:10.000Z","Disabled","14.3","iPhone 7","C6KSM5Y9HG7J","99%","-","353803089364632","C6KSM5Y9HG7J","","8961025719506869305","Yes","Yes","0"
"2021-08-01T06:41:44.000Z","Disabled","14.4","iPhone 7","C6KSM8QPHG7H","100%","-","353841081050262","C6KSM8QPHG7H","","8961025719506869404","Yes","Yes","0"
"2021-07-16T05:07:35.000Z","Disabled","14.4","iPhone 7","C6KSMFYHHG7H","100%","-","353843082577814","C6KSMFYHHG7H","","8961025719506868653","Yes","Yes","0"
"2019-06-11T07:05:54.000Z","Enabled","12.1.4","iPhone 7","C6KSMJ95HG7K","2%","-","353803089583454","C6KSMJ95HG7K","","8961025715442970462","Yes","Yes","3"
"2021-07-21T02:50:44.000Z","Disabled","14.6","iPhone 7","C6KSMJVSHG7J","84%","-","353843082037363","C6KSMJVSHG7J","TwilioSuperSIM","89883070000006951105","Yes","Yes","0"
"2019-05-19T19:35:49.000Z","Disabled","12.2","iPhone 7","C6KSN7E7HG6W","50%","-","353823087351696","C6KSN7E7HG6W","","-","Yes","Yes","3"
"2021-07-16T01:38:41.000Z","Disabled","14.3","iPhone 7","C6KSPJRBHG7J","70%","-","353845085472489","C6KSPJRBHG7J","TwilioSuperSIM","89883070000006951162","Yes","Yes","0"
"2019-11-03T19:14:48.000Z","Disabled","12.3","iPhone 7","C6KSPW4AHG6W","50%","-","355309083753919","C6KSPW4AHG6W","","-","Yes","Yes","2"
"2021-07-05T00:56:40.000Z","Disabled","14.3","iPhone 7","C6KSQKZ8HG7H","54%","-","355332080201567","C6KSQKZ8HG7H","","8901260862292281614","Yes","Yes","0"
"2019-11-04T14:39:11.000Z","Disabled","12.2","iPhone 7","C6KSQW7NHG6W","20%","-","355309085273189","C6KSQW7NHG6W","FreedomPop","89011704278235880590","Yes","Yes","2"
"2019-11-03T19:20:59.000Z","Enabled","12.3","iPhone 7","C6KSRK2ZHG71","89%","-","355310088516855","C6KSRK2ZHG71","","-","Yes","Yes","2"
"2021-07-21T06:45:46.000Z","Disabled","14.3","iPhone 7","C6KSVGLMHG7J","83%","-","355313081742148","C6KSVGLMHG7J","TwilioSuperSIM","89883070000006951089","Yes","Yes","0"
"2021-07-16T05:23:24.000Z","Disabled","14.4","iPhone 7","C6KSVHA5HG7G","91%","-","355318081556059","C6KSVHA5HG7G","TwilioSuperSIM","89883070000006951196","Yes","Yes","0"
"2021-07-30T23:30:51.000Z","Disabled","14.3","iPhone 7","C6KSVLJRHG7J","100%","-","355321081657596","C6KSVLJRHG7J","","8961025719506868679","Yes","Yes","0"
"2021-07-18T21:46:58.000Z","Disabled","14.6","iPhone 7","C6KSWB8LHG7J","77%","-","355322082529172","C6KSWB8LHG7J","TwilioSuperSIM","89883070000001215845","Yes","Yes","0"
"2021-08-01T06:44:44.000Z","Disabled","14.6","iPhone 7","C6KT10AVHG7J","47%","-","355316084008516","C6KT10AVHG7J","TwilioSuperSIM","89883070000001215837","Yes","Yes","0"
"2021-04-03T08:26:28.000Z","Disabled","13.2.3","iPhone 7","C6KT1MP6HG7F","1%","-","355313083677318","C6KT1MP6HG7F","","8961025715442971619","Yes","Yes","2"
"2019-08-25T21:32:40.000Z","Disabled","12.3","iPhone 7","C6KT63L7HG71","100%","-","355342088055717","C6KT63L7HG71","","-","Yes","Yes","2"
"2019-11-03T23:55:31.000Z","Disabled","12.2","iPhone 7","C6KT7R60HG6W","100%","-","355831081694019","C6KT7R60HG6W","","-","Yes","Yes","2"
"2021-07-12T05:53:09.000Z","Disabled","14.3","iPhone 7","C6KT7U56HG7F","71%","-","355327086240627","C6KT7U56HG7F","","8961025719506869396","Yes","Yes","0"
"2019-11-03T19:04:41.000Z","Disabled","12.3","iPhone 7","C6KTC33FHG6W","92%","-","355342089574120","C6KTC33FHG6W","FreedomPop","-","Yes","Yes","3"
"2021-07-16T04:43:53.000Z","Disabled","13.2.3","iPhone 7","C6KTFL5SHG7F","1%","-","355323087363765","C6KTFL5SHG7F","","8901260862292281952","Yes","Yes","0"
"2021-08-01T06:48:38.000Z","Disabled","14.6","iPhone 7","C6KTH6V3HG7F","12%","-","355314087849895","C6KTH6V3HG7F","","-","Yes","Yes","0"
"2019-08-25T21:24:19.000Z","Disabled","12.3","iPhone 7","C6KTJNMMHG7F","99%","-","355314088070905","C6KTJNMMHG7F","","-","Yes","Yes","2"
"2021-08-09T17:55:40.000Z","Disabled","14.3","iPhone 7","C6KTNBWTHG7G","1%","-","355330088761806","C6KTNBWTHG7G","Twilio","8901260862292279378","Yes","Yes","0"
"2021-07-06T06:03:27.000Z","Disabled","14.3","iPhone 7","C6KTP5ZKHG7G","100%","-","355318088691511","C6KTP5ZKHG7G","Twilio","8901260862292279477","Yes","Yes","0"
"2021-07-05T02:23:20.000Z","Disabled","14.3","iPhone 7","C6KTPEGWHG7F","49%","-","356561080898290","C6KTPEGWHG7F","Twilio","8961025719546259020","Yes","Yes","0"
"2021-08-06T03:45:17.000Z","Disabled","14.6","iPhone 7","C6KTRCN8HG7L","1%","-","355315089207479","C6KTRCN8HG7L","TwilioSuperSIM","89883070000001216157","Yes","Yes","0"
"2021-06-30T02:30:47.000Z","Disabled","14.3","iPhone 7","C6KTT705HG7J","3%","-","356555081482914","C6KTT705HG7J","Twilio","8901260862292279295","Yes","Yes","0"
"2021-08-09T15:41:34.000Z","Disabled","14.3","iPhone 7","C6KTV2A7HG7N","1%","-","355321089509153","C6KTV2A7HG7N","","8961025719506869776","Yes","Yes","0"
"2021-07-16T05:11:03.000Z","Disabled","14.3","iPhone 7","C6KTV5X1HG7J","65%","-","355323089559204","C6KTV5X1HG7J","","8901260862292279584","Yes","Yes","0"
"2021-07-12T05:36:16.000Z","Disabled","14.4","iPhone 7","C6KTWCLBHG7J","48%","-","356555082097430","C6KTWCLBHG7J","TwilioSuperSIM","89883070000006951246","Yes","Yes","0"
"2021-06-30T13:16:00.000Z","Disabled","14.3","iPhone 7","C6KTWEH7HG7F","2%","-","355320089867579","C6KTWEH7HG7F","","89610182000760156774","Yes","Yes","0"
"2021-08-01T06:10:56.000Z","Disabled","14.3","iPhone 7","C6KTWEL2HG7G","100%","-","355318089853730","C6KTWEL2HG7G","Twilio","8901260862292281754","Yes","Yes","0"
"2021-07-12T05:05:22.000Z","Disabled","14.4","iPhone 7","C6KTWJ34HG7J","43%","-","356557082114520","C6KTWJ34HG7J","","8961025719506868661","Yes","Yes","0"
"2021-07-16T04:01:55.000Z","Disabled","14.5.1","iPhone 8","C6KVF9XTJC6J","51%","-","356731082203159","C6KVF9XTJC6J","TwilioSuperSIM recently-added","89883070000006950131","Yes","Yes","0"
"2021-07-12T05:49:23.000Z","Disabled","14.3","iPhone 7","C76SG445HG7J","2%","-","359212075161537","C76SG445HG7J","TwilioSuperSIM","89883070000006950891","Yes","Yes","0"
"2021-07-01T07:28:48.000Z","Disabled","14.3","iPhone 7","C76SNTCEHG7J","98%","-","353842084932837","C76SNTCEHG7J","Twilio","8901260862292281630","Yes","Yes","0"
"2021-06-30T13:10:34.000Z","Disabled","14.3","iPhone 7","C76SQHCLHG7F","2%","-","355328080369065","C76SQHCLHG7F","","89610182000760028329","Yes","Yes","0"
"2019-11-05T21:26:51.000Z","Enabled","12.2","iPhone 7","C76ST020HG6W","62%","-","355310088730761","C76ST020HG6W","FreedomPop","-","Yes","Yes","2"
"2019-05-19T19:32:27.000Z","Disabled","12.2","iPhone 7","C76ST9DLHG6W","55%","-","355312087810750","C76ST9DLHG6W","","-","Yes","Yes","3"
"2021-07-12T05:16:34.000Z","Disabled","14.3","iPhone 7","C76SXN0JHG7J","53%","-","355319083137955","C76SXN0JHG7J","","8961025715442971643","Yes","Yes","0"
"2021-07-12T05:25:27.000Z","Disabled","14.3","iPhone 7","C76SXR6HHG7J","72%","-","355322083010362","C76SXR6HHG7J","TwilioSuperSIM","-","Yes","Yes","0"
"2021-08-02T00:08:22.000Z","Disabled","14.7.1","iPhone 7","C76SXRNQHG7J","100%","-","355322082854109","C76SXRNQHG7J","","8961025719506869529","Yes","Yes","0"
"2021-06-22T07:44:33.000Z","Disabled","14.3","iPhone 7","C76SYE20HG7F","69%","-","355330083317448","C76SYE20HG7F","","8901260862292279279","Yes","Yes","0"
"2021-07-30T23:28:25.000Z","Disabled","13.2.3","iPhone 7","C76SYGHPHG7F","100%","-","355322083315555","C76SYGHPHG7F","","8961025715442970207","Yes","Yes","0"
"2021-07-01T07:42:49.000Z","Disabled","14.3","iPhone 7","C76T1E8ZHG7F","96%","-","355323084232419","C76T1E8ZHG7F","Twilio","8901260862292279444","Yes","Yes","0"
"2021-08-01T04:48:41.000Z","Disabled","14.3","iPhone 7","C76T77Q1HG7F","100%","-","355314086051436","C76T77Q1HG7F","NoFilter TwilioSuperSIM","89883070000006951311","Yes","Yes","0"
"2021-07-01T07:51:57.000Z","Disabled","14.3","iPhone 7","C76T8G7AHG7F","100%","-","355321086486108","C76T8G7AHG7F","","8901260862292279337","Yes","Yes","0"
"2021-08-03T13:04:26.000Z","Disabled","14.6","iPhone 7","C76TGMMTHG7F","1%","-","355321087906559","C76TGMMTHG7F","TwilioSuperSIM","89883070000001216066","Yes","Yes","0"
"2021-08-01T04:57:14.000Z","Disabled","14.3","iPhone 7","C76TGP9JHG7F","100%","-","355323087847643","C76TGP9JHG7F","NoFilter","8961025719506869511","Yes","Yes","0"
"2021-07-16T04:44:41.000Z","Disabled","14.6","iPhone 7","C76TQCSJHG7F","69%","-","355329089045961","C76TQCSJHG7F","","8961025719506869446","Yes","Yes","0"
"2021-06-30T02:24:09.000Z","Disabled","14.3","iPhone 7","C77SXD7WHG7F","2%","-","355315083385156","C77SXD7WHG7F","","8961025716451323585","Yes","Yes","0"
"2021-08-03T17:09:15.000Z","Disabled","14.6","iPhone 7","C77T74J5HG7F","1%","-","355331086313863","C77T74J5HG7F","TwilioSuperSIM","89883070000001216207","Yes","Yes","0"
"2021-08-01T06:05:09.000Z","Disabled","14.3","iPhone 7","C78SXBUJHG7F","100%","-","355315083447600","C78SXBUJHG7F","","8961025716434058555","Yes","Yes","0"
"2021-08-09T04:57:32.000Z","Disabled","14.3","iPhone 7","C7CSL7TKHG7J","1%","-","353806087609015","C7CSL7TKHG7J","NoFilter","8961025719506869172","Yes","Yes","0"
"2021-08-08T13:42:47.000Z","Disabled","14.3","iPhone 7","C7CSL8REHG7J","1%","-","353804087725378","C7CSL8REHG7J","NoFilter","8961025719506869297","Yes","Yes","0"
"2021-07-01T07:58:47.000Z","Disabled","14.5.1","iPhone 8","C7CWG1J8JC6H","5%","-","352997094441681","C7CWG1J8JC6H","TwilioSuperSIM recently-added","89883070000006950354","Yes","Yes","0"
"2021-07-04T22:32:41.000Z","Disabled","14.5.1","iPhone 8","C7CWJ4HHJC6J","19%","-","352998095469739","C7CWJ4HHJC6J","TwilioSuperSIM recently-added","89883070000006950339","Yes","Yes","0"
"2021-06-10T00:26:25.000Z","Disabled","10.3.3","iPhone 5c","C7JLGH1VFFHP","18%","Carrier","358541050824979","C7JLGH1VFFHP","Twilio","8901260862291352796","Yes","Yes","0"
"2021-03-28T00:53:41.000Z","Disabled","10.3.3","iPhone 5c","C7JLN4A2FFHP","99%","Carrier","358540053180611","C7JLN4A2FFHP","Twilio","-","Yes","Yes","2"
"2021-07-15T21:21:49.000Z","Disabled","10.3.3","iPhone 5c","C7JLV50QFFHP","100%","Carrier","358541053095809","C7JLV50QFFHP","TwilioSuperSIM","-","Yes","Yes","0"
"2021-06-10T02:46:26.000Z","Disabled","10.3.3","iPhone 5c","C7JLW05VFFHP","27%","Carrier","358540056248803","C7JLW05VFFHP","","8901260862291352697","Yes","Yes","0"
"2021-06-10T00:25:02.000Z","Disabled","10.3.3","iPhone 5c","C7JM6027FFHP","14%","Carrier","358541055608021","C7JM6027FFHP","Twilio","8901260862291352721","Yes","Yes","0"
"2020-01-15T23:32:45.000Z","Enabled","10.3.3","iPhone 5c","C7KLDAVLFFHH","5%","OPTUS","358542050166569","C7KLDAVLFFHH","","8961025716432884663","Yes","Yes","2"
"2021-07-05T02:26:51.000Z","Disabled","14.5.1","iPhone 8","C8PV98Y5JC6J","3%","-","356732081041616","C8PV98Y5JC6J","TwilioSuperSIM recently-added","89883070000006950313","Yes","Yes","0"
"2021-07-16T05:10:09.000Z","Disabled","14.5.1","iPhone 8","C8PV9CDAJC6D","100%","-","356701084980336","C8PV9CDAJC6D","TwilioSuperSIM recently-added","89883070000006949976","Yes","Yes","0"
"2021-07-05T00:02:12.000Z","Disabled","14.5.1","iPhone 8","C8PVC69NJC6J","42%","-","356729080610177","C8PVC69NJC6J","TwilioSuperSIM recently-added","89883070000006950248","Yes","Yes","0"
"2021-07-16T04:12:19.000Z","Disabled","14.5.1","iPhone 8","C8PVJWX4JC6D","78%","-","356701085001918","C8PVJWX4JC6D","TwilioSuperSIM recently-added","89883070000006950081","Yes","Yes","0"
"2021-07-01T07:41:54.000Z","Disabled","14.5.1","iPhone 8","C8PXT871JC6G","100%","-","352995099345790","C8PXT871JC6G","TwilioSuperSIM recently-added","89883070000006950206","Yes","Yes","0"
"2021-07-11T22:41:38.000Z","Disabled","14.5.1","iPhone 8","C8PXV5F8JC6J","55%","-","352995099402450","C8PXV5F8JC6J","TwilioSuperSIM recently-added","89883070000006950172","Yes","Yes","0"
"2021-07-01T07:55:27.000Z","Disabled","14.5.1","iPhone 8","C8PYM9HKJC6J","63%","-","356097093856736","C8PYM9HKJC6J","TwilioSuperSIM recently-added","89883070000006950271","Yes","Yes","0"
"2021-07-05T02:25:30.000Z","Disabled","10.3.3","iPhone 5c","C8QL92B3FM21","0%","Carrier","357995052759602","C8QL92B3FM21","","8901260862291352945","Yes","Yes","0"
"2021-08-02T21:49:15.000Z","Disabled","10.3.3","iPhone 5c","C8QLGBKYFFHM","2%","Jersey Telecom","358541051735133","C8QLGBKYFFHM","TwilioSuperSIM","89883070000001215902","Yes","Yes","0"
"2021-02-03T06:32:02.000Z","Disabled","10.3.3","iPhone 5c","C8QLJX3QFFHL","2%","Carrier","013835001355696","C8QLJX3QFFHL","","8901260862291350162","Yes","Yes","3"
"2021-08-03T01:42:35.000Z","Disabled","10.3.3","iPhone 5c","C8QM2BZQFFHL","0%","Jersey Telecom","013891000407442","C8QM2BZQFFHL","TwilioSuperSIM","89883070000001215860","Yes","Yes","0"
"2021-07-05T02:36:34.000Z","Disabled","10.3.3","iPhone 5c","C8QM3D1BFFHH","37%","Carrier","358541058602112","C8QM3D1BFFHH","Twilio","8901260862291352960","Yes","Yes","0"
"2021-08-03T10:26:39.000Z","Disabled","10.3.3","iPhone 5c","C8QMJLJ6G07R","0%","Jersey Telecom","358545058057292","C8QMJLJ6G07R","TwilioSuperSIM","89883070000001215944","Yes","Yes","0"
"2021-06-30T01:02:42.000Z","Disabled","14.5.1","iPhone 8","C8QVJ819JC6G","3%","-","356731084164136","C8QVJ819JC6G","TwilioSuperSIM recently-added","89883070000006950289","Yes","Yes","0"
"2021-07-12T00:36:34.000Z","Disabled","14.5.1","iPhone 8","C8QVJDU6JC6J","65%","-","356728084841127","C8QVJDU6JC6J","TwilioSuperSIM recently-added","89883070000006950016","Yes","Yes","0"
"2021-07-23T02:36:51.000Z","Disabled","14.5.1","iPhone 8","C8QWN8NWJC6C","98%","-","354896091625403","C8QWN8NWJC6C","TwilioSuperSIM recently-added","89883070000006950107","Yes","Yes","0"
"2021-07-16T04:12:51.000Z","Disabled","14.5.1","iPhone 8","C8QYLH7KJC6C","45%","-","354890098883388","C8QYLH7KJC6C","TwilioSuperSIM recently-added","89883070000006950057","Yes","Yes","0"
