"Name","Serial","Connected","Full OS","Model","Battery","Carrier network","Tags","ICCID","Supervised?","Managed?"
"F4GY14ESJC6J","F4GY14ESJC6J","2021-06-30T04:19:35.000Z","14.5.1","iPhone 8","3%","Optus AU","TwilioSuperSIM","89883070000006950412","Yes","Yes"
"F4GY100HJC6J","F4GY100HJC6J","2021-07-05T02:11:00.000Z","14.5.1","iPhone 8","100%","Optus AU","TwilioSuperSIM","89883070000006950396","Yes","Yes"
"F4GXQL5GJC6J","F4GXQL5GJC6J","2021-08-20T04:32:37.000Z","14.5.1","iPhone 8","86%","Optus AU","TwilioSuperSIM","89883070000006950230","Yes","Yes"
"F4GX534XJC6J","F4GX534XJC6J","2021-08-20T04:34:13.000Z","14.5.1","iPhone 8","100%","Telstra Mobile","TwilioSuperSIM","89883070000006950149","Yes","Yes"
"F4GWLEQSJWF9","F4GWLEQSJWF9","2021-06-30T01:18:37.000Z","14.6","iPhone 8","100%","Optus AU","TwilioSuperSIM","89883070000006950321","Yes","Yes"
"F4GWK8RZJC6J","F4GWK8RZJC6J","2021-08-12T20:34:13.000Z","14.5.1","iPhone 8","55%","-","TwilioSuperSIM","89883070000006950073","Yes","Yes"
"F4GWH0K6JC6C","F4GWH0K6JC6C","2021-07-12T05:55:21.000Z","14.5.1","iPhone 8","55%","Optus AU","TwilioSuperSIM","89883070000006950032","Yes","Yes"
"F4GW4XZBJC6G","F4GW4XZBJC6G","2021-07-11T23:07:10.000Z","14.5.1","iPhone 8","43%","Optus AU","TwilioSuperSIM","89883070000006950263","Yes","Yes"
"F4GVGJQKJC6H","F4GVGJQKJC6H","2021-07-16T02:51:30.000Z","14.5.1","iPhone 8","97%","Optus AU","TwilioSuperSIM","89883070000006950255","Yes","Yes"
"F4GVG01TJC6J","F4GVG01TJC6J","2021-07-16T02:35:03.000Z","14.5.1","iPhone 8","98%","Optus AU","TwilioSuperSIM","89883070000006950156","Yes","Yes"
"F4GT212HHG7G","F4GT212HHG7G","2021-07-16T02:35:06.000Z","14.3","iPhone 7","87%","Optus AU","TwilioSuperSIM","89883070000006951188","Yes","Yes"
"C8QYLH7KJC6C","C8QYLH7KJC6C","2021-07-16T04:12:51.000Z","14.5.1","iPhone 8","45%","Optus AU","TwilioSuperSIM","89883070000006950057","Yes","Yes"
"C8QWN8NWJC6C","C8QWN8NWJC6C","2021-07-23T02:36:51.000Z","14.5.1","iPhone 8","98%","Optus AU","TwilioSuperSIM","89883070000006950107","Yes","Yes"
"C8QVJDU6JC6J","C8QVJDU6JC6J","2021-07-12T00:36:34.000Z","14.5.1","iPhone 8","65%","Optus AU","TwilioSuperSIM","89883070000006950016","Yes","Yes"
"C8QVJ819JC6G","C8QVJ819JC6G","2021-06-30T01:02:42.000Z","14.5.1","iPhone 8","3%","Optus AU","TwilioSuperSIM","89883070000006950289","Yes","Yes"
"C8PYM9HKJC6J","C8PYM9HKJC6J","2021-07-01T07:55:27.000Z","14.5.1","iPhone 8","63%","Optus AU","TwilioSuperSIM","89883070000006950271","Yes","Yes"
"C8PXV5F8JC6J","C8PXV5F8JC6J","2021-07-11T22:41:38.000Z","14.5.1","iPhone 8","55%","Optus AU","TwilioSuperSIM","89883070000006950172","Yes","Yes"
"C8PW27U8JC6J","C8PW27U8JC6J","2021-08-18T04:11:59.000Z","14.6","iPhone 8","100%","-","TwilioSuperSIM","89883070000006950370","Yes","Yes"
"C8PVJWX4JC6D","C8PVJWX4JC6D","2021-07-16T04:12:19.000Z","14.5.1","iPhone 8","78%","Optus AU","TwilioSuperSIM","89883070000006950081","Yes","Yes"
"C8PVC69NJC6J","C8PVC69NJC6J","2021-07-05T00:02:12.000Z","14.5.1","iPhone 8","42%","Optus AU","TwilioSuperSIM","89883070000006950248","Yes","Yes"
"C7CWJ4HHJC6J","C7CWJ4HHJC6J","2021-07-04T22:32:41.000Z","14.5.1","iPhone 8","19%","Optus AU","TwilioSuperSIM","89883070000006950339","Yes","Yes"
"C7CWG1J8JC6H","C7CWG1J8JC6H","2021-07-01T07:58:47.000Z","14.5.1","iPhone 8","5%","Optus AU","TwilioSuperSIM","89883070000006950354","Yes","Yes"
"C76T77Q1HG7F","C76T77Q1HG7F","2021-08-01T04:48:41.000Z","14.3","iPhone 7","100%","Telstra Mobile","TwilioSuperSIM","89883070000006951311","Yes","Yes"
"C76SG445HG7J","C76SG445HG7J","2021-08-20T03:50:07.000Z","14.3","iPhone 7","2%","-","TwilioSuperSIM","89883070000006950891","Yes","Yes"
"C6KVF9XTJC6J","C6KVF9XTJC6J","2021-07-16T04:01:55.000Z","14.5.1","iPhone 8","51%","Optus AU","TwilioSuperSIM","89883070000006950131","Yes","Yes"
"C6KTWCLBHG7J","C6KTWCLBHG7J","2021-07-12T05:36:16.000Z","14.4","iPhone 7","48%","-","TwilioSuperSIM","89883070000006951246","Yes","Yes"
"C6KSK4K7HG7F","C6KSK4K7HG7F","2021-08-03T12:12:01.000Z","13.2.3","iPhone 7","100%","Telstra Mobile","TwilioSuperSIM","89883070000006951303","Yes","Yes"
"FYNW11PVHG7P","FYNW11PVHG7P","2021-08-20T05:21:10.422Z","14.7.1","iPhone 7","93%","-","TwilioSuperSIM","89883070000006950487","Yes","Yes"
"FFMXN3FNJC6J","FFMXN3FNJC6J","2021-08-20T05:21:10.422Z","14.7.1","iPhone 8","84%","Optus AU","TwilioSuperSIM","89883070000006950164","Yes","Yes"
"FFMNC6QTG07M","FFMNC6QTG07M","2021-08-20T05:21:10.422Z","10.3.3","iPhone 5c","76%","movistar","TwilioSuperSIM","89883070000006950982","Yes","Yes"
"F73LX07PFM1R","F73LX07PFM1R","2021-08-20T05:21:10.422Z","10.3.3","iPhone 5c","88%","movistar","TwilioSuperSIM","89883070000006950651","Yes","Yes"
"F73LD322FFHK","F73LD322FFHK","2021-08-20T05:21:10.422Z","10.3.3","iPhone 5c","40%","movistar","TwilioSuperSIM","89883070000006950438","Yes","Yes"
"F72V621XHG7F","F72V621XHG7F","2021-08-20T05:21:10.422Z","14.7.1","iPhone 7","96%","-","TwilioSuperSIM","89883070000006950503","Yes","Yes"
"F72T5NGJHG7F","F72T5NGJHG7F","2021-08-20T05:21:10.422Z","14.7.1","iPhone 7","84%","-","TwilioSuperSIM","89883070000006950933","Yes","Yes"
"F71VFVYBJC6F","F71VFVYBJC6F","2021-08-20T05:21:10.422Z","14.5.1","iPhone 8","66%","Optus AU","TwilioSuperSIM","89883070000006949992","Yes","Yes"
"F71V550NHG7F","F71V550NHG7F","2021-08-20T05:21:10.422Z","14.7.1","iPhone 7","92%","Telstra Mobile","TwilioSuperSIM","89883070000006951170","Yes","Yes"
"F71V52VNHG7J","F71V52VNHG7J","2021-08-20T05:21:10.422Z","14.7.1","iPhone 7","84%","-","TwilioSuperSIM","89883070000006951071","Yes","Yes"
"F71SWGG5HG7K","F71SWGG5HG7K","2021-08-20T05:21:10.422Z","14.7.1","iPhone 7","93%","Telstra Mobile","TwilioSuperSIM","89883070000006951121","Yes","Yes"
"F71SPYU0HG7P","F71SPYU0HG7P","2021-08-20T05:21:10.422Z","14.7.1","iPhone 7","92%","-","TwilioSuperSIM","89883070000006950552","Yes","Yes"
"F71SNBW2HG7L","F71SNBW2HG7L","2021-08-20T05:21:10.422Z","14.7.1","iPhone 7","90%","-","TwilioSuperSIM","89883070000006951006","Yes","Yes"
"F71SF1EHHG7K","F71SF1EHHG7K","2021-08-20T05:21:10.422Z","14.7.1","iPhone 7","86%","-","TwilioSuperSIM","89883070000006950537","Yes","Yes"
"F71SF0MNHG7P","F71SF0MNHG7P","2021-08-20T05:21:10.422Z","14.7.1","iPhone 7","91%","Telstra Mobile","TwilioSuperSIM","89883070000006951154","Yes","Yes"
"F71SC0J1HG7Q","F71SC0J1HG7Q","2021-08-20T05:21:10.422Z","14.7.1","iPhone 7","72%","-","TwilioSuperSIM","89883070000006950495","Yes","Yes"
"F4KSV1GKHG7F","F4KSV1GKHG7F","2021-08-20T05:21:10.422Z","14.7.1","iPhone 7","86%","-","TwilioSuperSIM","89883070000006950750","Yes","Yes"
"F4HT1QXVHG7K","F4HT1QXVHG7K","2021-08-20T05:21:10.422Z","14.7.1","iPhone 7","95%","Telstra Mobile","TwilioSuperSIM","89883070000006951279","Yes","Yes"
"F4HSX7DLHG7F","F4HSX7DLHG7F","2021-08-20T05:21:10.422Z","14.7.1","iPhone 7","39%","-","TwilioSuperSIM","89883070000006951139","Yes","Yes"
"F4HSDP47HG7K","F4HSDP47HG7K","2021-08-20T05:21:10.422Z","14.7.1","iPhone 7","99%","-","TwilioSuperSIM","89883070000006951147","Yes","Yes"
"F4HS9659HG7H","F4HS9659HG7H","2021-08-20T05:21:10.422Z","14.7.1","iPhone 7","72%","-","TwilioSuperSIM","89883070000006951063","Yes","Yes"
"F4GXC3R2JC6G","F4GXC3R2JC6G","2021-08-20T05:21:10.422Z","14.7.1","iPhone 8","92%","Optus AU","TwilioSuperSIM","89883070000006950123","Yes","Yes"
"F4GWG808JC6J","F4GWG808JC6J","2021-08-20T05:21:10.422Z","14.5.1","iPhone 8","100%","Optus AU","TwilioSuperSIM","89883070000006950065","Yes","Yes"
"F4GW62JCJC6J","F4GW62JCJC6J","2021-08-20T05:21:10.422Z","14.7.1","iPhone 8","85%","Optus AU","TwilioSuperSIM","89883070000006950214","Yes","Yes"
"F4GVRFC2JC6H","F4GVRFC2JC6H","2021-08-20T05:21:10.422Z","14.5.1","iPhone 8","35%","Optus AU","TwilioSuperSIM","89883070000006950388","Yes","Yes"
"F4GVMGMBJC6N","F4GVMGMBJC6N","2021-08-20T05:21:10.422Z","14.7.1","iPhone 8","86%","Telstra Mobile","TwilioSuperSIM","89883070000006949984","Yes","Yes"
"F4GVFE5VJC6J","F4GVFE5VJC6J","2021-08-20T05:21:10.422Z","14.5.1","iPhone 8","68%","Optus AU","TwilioSuperSIM","89883070000006950305","Yes","Yes"
"F4GTW25HHG7N","F4GTW25HHG7N","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","87%","-","TwilioSuperSIM","89883070000006950768","Yes","Yes"
"F4GTQ002HG7K","F4GTQ002HG7K","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","61%","Optus AU","TwilioSuperSIM","89883070000006949968","Yes","Yes"
"F4GTDHA4HG7J","F4GTDHA4HG7J","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","86%","-","TwilioSuperSIM","89883070000006950925","Yes","Yes"
"F4GT8095HG7L","F4GT8095HG7L","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","86%","-","TwilioSuperSIM","89883070000006950941","Yes","Yes"
"F4GT21YGHG7H","F4GT21YGHG7H","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","84%","-","TwilioSuperSIM","89883070000006950834","Yes","Yes"
"F4GT192KHG7J","F4GT192KHG7J","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","77%","-","TwilioSuperSIM","89883070000006950867","Yes","Yes"
"F4GSXJZHHG7H","F4GSXJZHHG7H","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","91%","-","TwilioSuperSIM","89883070000006950461","Yes","Yes"
"F4GSW3CCHG7F","F4GSW3CCHG7F","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","99%","Telstra Mobile","TwilioSuperSIM","89883070000006950909","Yes","Yes"
"F4GSQ4CXHG7J","F4GSQ4CXHG7J","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","87%","-","TwilioSuperSIM","89883070000006950842","Yes","Yes"
"F4GSP730HG7Q","F4GSP730HG7Q","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","91%","-","TwilioSuperSIM","89883070000006951287","Yes","Yes"
"F4GSL216HG7H","F4GSL216HG7H","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","81%","-","TwilioSuperSIM","89883070000006950826","Yes","Yes"
"F4GSKCUZHG7F","F4GSKCUZHG7F","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","90%","Telstra Mobile","TwilioSuperSIM","89883070000006951113","Yes","Yes"
"F4GSK6A2HG7H","F4GSK6A2HG7H","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","80%","-","TwilioSuperSIM","89883070000006950883","Yes","Yes"
"F4GSDNSJHG7H","F4GSDNSJHG7H","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","86%","-","TwilioSuperSIM","89883070000006950776","Yes","Yes"
"F4GSCKZKHG7K","F4GSCKZKHG7K","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","93%","-","TwilioSuperSIM","89883070000006950610","Yes","Yes"
"F18TC2SGHX98","F18TC2SGHX98","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","93%","-","TwilioSuperSIM","89883070000006951204","Yes","Yes"
"F17VN7KPHG7P","F17VN7KPHG7P","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","91%","-","TwilioSuperSIM","89883070000006950479","Yes","Yes"
"DNPSN66LHG7P","DNPSN66LHG7P","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","95%","-","TwilioSuperSIM","89883070000006951295","Yes","Yes"
"C8QM3D1BFFHH","C8QM3D1BFFHH","2021-08-20T05:21:10.423Z","10.3.3","iPhone 5c","93%","movistar","TwilioSuperSIM","89883070000006950685","Yes","Yes"
"C8PXT871JC6G","C8PXT871JC6G","2021-08-20T05:21:10.423Z","14.7.1","iPhone 8","86%","Optus AU","TwilioSuperSIM","89883070000006950206","Yes","Yes"
"C8PV9CDAJC6D","C8PV9CDAJC6D","2021-08-20T05:21:10.423Z","14.7.1","iPhone 8","88%","Telstra Mobile","TwilioSuperSIM","89883070000006949976","Yes","Yes"
"C8PV98Y5JC6J","C8PV98Y5JC6J","2021-08-20T05:21:10.423Z","14.7.1","iPhone 8","76%","Telstra Mobile","TwilioSuperSIM","89883070000006950313","Yes","Yes"
"C76T1E8ZHG7F","C76T1E8ZHG7F","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","85%","-","TwilioSuperSIM","89883070000006950743","Yes","Yes"
"C76SYE20HG7F","C76SYE20HG7F","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","88%","-","TwilioSuperSIM","89883070000006950578","Yes","Yes"
"C76SNTCEHG7J","C76SNTCEHG7J","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","89%","-","TwilioSuperSIM","89883070000006950792","Yes","Yes"
"C6KTWEH7HG7F","C6KTWEH7HG7F","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","86%","-","TwilioSuperSIM","89883070000006950859","Yes","Yes"
"C6KTV5X1HG7J","C6KTV5X1HG7J","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","84%","-","TwilioSuperSIM","89883070000006951030","Yes","Yes"
"C6KTT705HG7J","C6KTT705HG7J","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","95%","-","TwilioSuperSIM","89883070000006950453","Yes","Yes"
"C6KTPEGWHG7F","C6KTPEGWHG7F","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","93%","-","TwilioSuperSIM","89883070000006950800","Yes","Yes"
"C6KTP5ZKHG7G","C6KTP5ZKHG7G","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","91%","Optus AU","TwilioSuperSIM","89883070000006949935","Yes","Yes"
"C6KT7AY9HG7K","C6KT7AY9HG7K","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","92%","-","TwilioSuperSIM","89883070000006950560","Yes","Yes"
"C6KSVHA5HG7G","C6KSVHA5HG7G","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","89%","-","TwilioSuperSIM","89883070000006951196","Yes","Yes"
"C6KSVGLMHG7J","C6KSVGLMHG7J","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","92%","Telstra Mobile","TwilioSuperSIM","89883070000006951089","Yes","Yes"
"C6KST91GHG7K","C6KST91GHG7K","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","88%","-","TwilioSuperSIM","89883070000006950818","Yes","Yes"
"C6KSPJRBHG7J","C6KSPJRBHG7J","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","93%","-","TwilioSuperSIM","89883070000006951162","Yes","Yes"
"C6KSMJVSHG7J","C6KSMJVSHG7J","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","95%","-","TwilioSuperSIM","89883070000006951105","Yes","Yes"
"C6KSLZ29HG7K","C6KSLZ29HG7K","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","84%","-","TwilioSuperSIM","89883070000006951055","Yes","Yes"
"C6KSL7ESHG7H","C6KSL7ESHG7H","2021-08-20T05:21:10.423Z","14.7.1","iPhone 7","81%","-","TwilioSuperSIM","89883070000006950875","Yes","Yes"
"C6KSKLX4HG7F","C6KSKLX4HG7F","2021-08-20T05:21:10.424Z","14.7.1","iPhone 7","79%","Telstra Mobile","TwilioSuperSIM","89883070000006951097","Yes","Yes"
"C6KSC07DHG7K","C6KSC07DHG7K","2021-08-20T05:21:10.424Z","14.7.1","iPhone 7","97%","-","TwilioSuperSIM","89883070000006949943","Yes","Yes"
"FYNW60WVHG7P","FYNW60WVHG7P","2021-08-05T08:51:34.000Z","14.6","iPhone 7","50%","VF Aotearoa","TwilioSuperSIM","89883070000001216140","Yes","Yes"
"FFMNK2UCG07R","FFMNK2UCG07R","2021-07-15T23:18:12.000Z","10.3.3","iPhone 5c","100%","Jersey Telecom","TwilioSuperSIM","89883070000001216058","Yes","Yes"
"FFMMX1ASFFHL","FFMMX1ASFFHL","2021-08-02T21:14:31.000Z","10.3.3","iPhone 5c","0%","Jersey Telecom","TwilioSuperSIM","89883070000001215886","Yes","Yes"
"FCDNK0M9G07K","FCDNK0M9G07K","2021-08-01T11:15:54.000Z","10.3.3","iPhone 5c","100%","Jersey Telecom","TwilioSuperSIM","89883070000001216074","Yes","Yes"
"FCCP20W7G07T","FCCP20W7G07T","2021-08-04T21:31:51.000Z","10.3.3","iPhone 5c","0%","Jersey Telecom","TwilioSuperSIM","89883070000001215795","Yes","Yes"
"FCCML2E1FFHL","FCCML2E1FFHL","2021-08-05T21:23:44.000Z","10.3.3","iPhone 5c","0%","Jersey Telecom","TwilioSuperSIM","89883070000001215878","Yes","Yes"
"F8RQC0HJFM21","F8RQC0HJFM21","2021-08-05T08:46:16.000Z","10.3.3","iPhone 5c","2%","Jersey Telecom","TwilioSuperSIM","89883070000001216017","Yes","Yes"
"F8QRX06ZF4YH","F8QRX06ZF4YH","2021-08-01T13:50:01.000Z","12.5.4","iPad Air (Cellular)","81%","vodafone NZ","TwilioSuperSIM","89883070000001215787","Yes","Yes"
"F8QRX06UF4YH","F8QRX06UF4YH","2021-08-17T22:11:07.000Z","12.5.4","iPad Air (Cellular)","10%","Vodafone NZ","TwilioSuperSIM","89883070000001216199","Yes","Yes"
"F8QRX062F4YH","F8QRX062F4YH","2021-08-01T05:56:56.000Z","12.5.4","iPad Air (Cellular)","100%","vodafone NZ","TwilioSuperSIM","89883070000001216181","Yes","Yes"
"F78MP96CFFHM","F78MP96CFFHM","2021-08-01T06:23:53.000Z","10.3.3","iPhone 5c","100%","Jersey Telecom","TwilioSuperSIM","89883070000001215985","Yes","Yes"
"F78MNKW5FFHL","F78MNKW5FFHL","2021-08-02T11:09:20.000Z","10.3.3","iPhone 5c","0%","Jersey Telecom","TwilioSuperSIM","89883070000001215803","Yes","Yes"
"F78MGTVLFFHM","F78MGTVLFFHM","2021-08-02T18:10:01.000Z","10.3.3","iPhone 5c","0%","Jersey Telecom","TwilioSuperSIM","89883070000001215894","Yes","Yes"
"F78M84NUFL03","F78M84NUFL03","2021-08-02T12:34:31.000Z","10.3.3","iPhone 5c","0%","Jersey Telecom","TwilioSuperSIM","89883070000001215829","Yes","Yes"
"F78LV3CCFFHR","F78LV3CCFFHR","2021-08-01T04:32:31.000Z","10.3.3","iPhone 5c","100%","Jersey Telecom","TwilioSuperSIM","89883070000001215993","Yes","Yes"
"F73MV3A2FM1P","F73MV3A2FM1P","2021-08-02T13:43:58.000Z","10.3.3","iPhone 5c","28%","Jersey Telecom","TwilioSuperSIM","89883070000001216215","Yes","Yes"
"F73MK1HGFFHP","F73MK1HGFFHP","2021-08-04T02:47:57.000Z","10.3.3","iPhone 5c","0%","Jersey Telecom","TwilioSuperSIM","89883070000001216025","Yes","Yes"
"F73LDLFWFFHH","F73LDLFWFFHH","2021-07-16T02:49:01.000Z","10.3.3","iPhone 5c","100%","Jersey Telecom","TwilioSuperSIM","89883070000001216090","Yes","Yes"
"F73LDFBPFFHH","F73LDFBPFFHH","2021-08-01T06:36:43.000Z","10.3.3","iPhone 5c","100%","Jersey Telecom","TwilioSuperSIM","89883070000001215936","Yes","Yes"
"F73L5BMVFFHK","F73L5BMVFFHK","2021-08-02T15:34:02.000Z","10.3.3","iPhone 5c","0%","Jersey Telecom","TwilioSuperSIM","89883070000001215951","Yes","Yes"
"F72V4LYAHG7F","F72V4LYAHG7F","2021-08-06T06:07:23.000Z","14.6","iPhone 7","1%","VF Kia Orana","TwilioSuperSIM","89883070000001215811","Yes","Yes"
"F71V32QAHG7J","F71V32QAHG7J","2021-08-20T03:48:27.000Z","14.7.1","iPhone 7","100%","-","TwilioSuperSIM","89883070000001216272","Yes","Yes"
"F71T136FHG7J","F71T136FHG7J","2021-08-01T06:38:55.000Z","14.6","iPhone 7","100%","VF Aotearoa","TwilioSuperSIM","89883070000001215852","Yes","Yes"
"F71S6363HG7F","F71S6363HG7F","2021-08-20T03:42:41.000Z","14.7.1","iPhone 7","95%","-","TwilioSuperSIM","89883070000001216256","Yes","Yes"
"F4KSV7USHG7F","F4KSV7USHG7F","2021-08-06T14:51:30.000Z","14.6","iPhone 7","1%","VF Kia Orana","TwilioSuperSIM","89883070000001215910","Yes","Yes"
"F4JSVKNPHG7F","F4JSVKNPHG7F","2021-08-01T14:52:15.000Z","14.6","iPhone 7","100%","VF Aotearoa","TwilioSuperSIM","89883070000001215928","Yes","Yes"
"F4HT3ZBAHG7F","F4HT3ZBAHG7F","2021-07-31T21:09:14.000Z","14.6","iPhone 7","90%","VF Aotearoa","TwilioSuperSIM","89883070000001216165","Yes","Yes"
"F4HSXCGXHG7J","F4HSXCGXHG7J","2021-08-06T10:29:14.000Z","14.6","iPhone 7","1%","Spark NZ","TwilioSuperSIM","89883070000001216041","Yes","Yes"
"F4GT7DZCHG7H","F4GT7DZCHG7H","2021-08-05T08:09:14.000Z","14.6","iPhone 7","1%","VF Aotearoa","TwilioSuperSIM","89883070000001216223","Yes","Yes"
"F4GT40JSHG7G","F4GT40JSHG7G","2021-08-05T00:48:42.000Z","14.6","iPhone 7","36%","VF Kia Orana","TwilioSuperSIM","89883070000001216132","Yes","Yes"
"F4GT18QUHG7J","F4GT18QUHG7J","2021-08-06T06:53:50.000Z","14.6","iPhone 7","1%","VF Kia Orana","TwilioSuperSIM","89883070000001216082","Yes","Yes"
"F4GSNGE4HG7F","F4GSNGE4HG7F","2021-08-05T08:59:51.000Z","14.6","iPhone 7","1%","VF Kia Orana","TwilioSuperSIM","89883070000001215969","Yes","Yes"
"DNPSHMHLHG7P","DNPSHMHLHG7P","2021-08-05T23:30:59.000Z","14.6","iPhone 7","1%","Spark NZ","TwilioSuperSIM","89883070000001216033","Yes","Yes"
"C8QMJLJ6G07R","C8QMJLJ6G07R","2021-08-03T10:26:39.000Z","10.3.3","iPhone 5c","0%","Jersey Telecom","TwilioSuperSIM","89883070000001215944","Yes","Yes"
"C8QM2BZQFFHL","C8QM2BZQFFHL","2021-08-03T01:42:35.000Z","10.3.3","iPhone 5c","0%","Jersey Telecom","TwilioSuperSIM","89883070000001215860","Yes","Yes"
"C8QLGBKYFFHM","C8QLGBKYFFHM","2021-08-02T21:49:15.000Z","10.3.3","iPhone 5c","2%","Jersey Telecom","TwilioSuperSIM","89883070000001215902","Yes","Yes"
